COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Barbados,BRB,AMRO,REPORTING,2021-04-23,74326,71134,25.864,24.753,"AstraZeneca - AZD1222,SII - Covishield",2021-02-10,2
Aruba,ABW,AMRO,REPORTING,2021-04-23,62343,44421,58.392,41.606,Pfizer BioNTech - Comirnaty,2021-02-17,1
Saint Helena,SHN,AFRO,OWID,2021-04-09,4572,3563,75.309,58.689,AstraZeneca - AZD1222,,1
Romania,ROU,EURO,REPORTING,2021-04-18,4239093,2632348,21.9,13.619,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-27,3
South Sudan,SSD,AFRO,REPORTING,2021-04-26,3265,3265,0.029,0.029,SII - Covishield,2021-04-06,1
Senegal,SEN,AFRO,REPORTING,2021-04-26,462713,399915,2.763,2.388,"Beijing CNBG - Inactivated,SII - Covishield",2021-02-23,2
Guernsey,GGY,EURO,OWID,2021-04-20,46587,32969,72.264,51.14,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Mozambique,MOZ,AFRO,REPORTING,2021-04-26,141640,81025,0.453,0.259,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-08,2
Cayman Islands,CYM,AMRO,REPORTING,2021-04-23,63838,34787,97.136,52.932,Pfizer BioNTech - Comirnaty,2021-01-15,1
Bermuda,BMU,AMRO,REPORTING,2021-04-23,50992,29208,81.885,46.903,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-11,2
Lebanon,LBN,EMRO,REPORTING,2021-04-22,386736,,5.666,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-14,4
Kyrgyzstan,KGZ,EURO,OWID,2021-04-12,2100,2100,0,0.032,Beijing CNBG - Inactivated,,1
Philippines,PHL,WPRO,REPORTING,2021-04-16,1371057,1187282,1.251,1.083,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,9
Nauru,NRU,WPRO,OWID,2021-04-09,168,168,1.551,1.551,AstraZeneca - AZD1222,,1
Montenegro,MNE,EURO,REPORTING,2021-04-11,43792,35852,7,5.708,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V",2021-02-24,3
Sweden,SWE,EURO,REPORTING,2021-04-18,2581989,1894772,25,18.347,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Kuwait,KWT,EMRO,REPORTING,2021-04-24,900000,,21.074,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty",2020-12-28,3
Afghanistan,AFG,EMRO,REPORTING,2021-04-26,296163,,0.761,,"Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,3
Anguilla,AIA,AMRO,REPORTING,2021-04-23,6035,6035,40.228,40.228,AstraZeneca - AZD1222,2021-02-05,1
Timor-Leste,TLS,SEARO,REPORTING,2021-04-20,13942,13942,1.057,1.057,"AstraZeneca - AZD1222,SII - Covishield",2021-04-07,2
Germany,DEU,EURO,REPORTING,2021-04-18,21997335,16472238,26.4,19.806,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Uzbekistan,UZB,EURO,OWID,2021-04-25,335610,335610,1,1.003,AstraZeneca - AZD1222,,1
Norway,NOR,EURO,REPORTING,2021-04-18,1328832,1036193,24.8,19.305,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-03-31,4
Peru,PER,AMRO,REPORTING,2021-04-23,1334451,777258,4.047,2.357,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",2021-02-09,4
Switzerland,CHE,EURO,OWID,2021-04-21,2092781,1326716,24.2,15.33,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2021-04-23,635159,445282,5.441,3.815,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-01-30,3
Somalia,SOM,EMRO,REPORTING,2021-04-25,120749,,0.76,,SII - Covishield,2021-03-16,1
Bangladesh,BGD,SEARO,REPORTING,2021-04-20,7423274,5745085,4.507,3.488,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-27,2
Guinea,GIN,AFRO,REPORTING,2021-04-26,129345,89827,0.985,0.684,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,6
Nigeria,NGA,AFRO,REPORTING,2021-04-26,1143600,1143600,0.555,0.555,SII - Covishield,2021-03-05,1
Mauritania,MRT,AFRO,REPORTING,2021-04-26,8082,8082,0.174,0.174,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-26,2
Montserrat,MSR,AMRO,REPORTING,2021-04-23,1909,1293,38.188,25.865,AstraZeneca - AZD1222,2021-02-08,1
Cambodia,KHM,WPRO,REPORTING,2021-04-17,1541896,1241947,9.222,7.428,"Beijing CNBG - Inactivated,SII - Covishield,Sinovac - CoronaVac",2021-02-10,3
Republic of Moldova,MDA,EURO,REPORTING,2021-04-18,94249,84351,2.3,2.091,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty",2021-03-03,3
Congo,COG,AFRO,REPORTING,2021-04-26,23072,16026,0.418,0.29,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",2021-03-23,4
Panama,PAN,AMRO,REPORTING,2021-04-23,591802,367920,13.716,8.527,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-20,2
Morocco,MAR,EMRO,REPORTING,2021-04-24,8941120,,24.224,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5",2021-01-28,4
Denmark,DNK,EURO,REPORTING,2021-04-18,1581108,1073229,27.2,18.432,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
Qatar,QAT,EMRO,OWID,2021-04-24,1394781,,48.412,,Pfizer BioNTech - Comirnaty,,1
Liechtenstein,LIE,OTHER,OWID,2021-04-21,10457,7229,26.988,18.657,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Tonga,TON,WPRO,OWID,2021-04-16,500,500,0.473,0.473,AstraZeneca - AZD1222,,1
Ethiopia,ETH,AFRO,REPORTING,2021-04-26,908578,908578,0.79,0.79,"Beijing CNBG - Inactivated,Bharat - Covaxin,SII - Covishield",2021-03-13,3
El Salvador,SLV,AMRO,REPORTING,2021-04-23,643042,626885,9.914,9.665,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,3
Guam,GUM,WPRO,REPORTING,2021-03-28,111470,69439,66.047,41.143,Pfizer BioNTech - Comirnaty,2021-01-04,1
Gibraltar,GIB,EURO,OWID,2021-04-23,67972,35973,201.751,106.773,Pfizer BioNTech - Comirnaty,,1
Isle of Man,IMN,EURO,OWID,2021-04-24,69648,53991,81.908,63.495,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Cyprus,CYP,EURO,REPORTING,2021-04-18,212296,153728,23.9,17.312,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Oman,OMN,EMRO,REPORTING,2021-04-19,237527,,4.651,,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,3
Latvia,LVA,EURO,REPORTING,2021-04-18,187102,160520,9.8,8.414,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Trinidad and Tobago,TTO,AMRO,REPORTING,2021-04-23,22996,22996,1.643,1.643,"AstraZeneca - AZD1222,SII - Covishield",2021-02-17,2
Tunisia,TUN,EMRO,REPORTING,2021-04-25,321708,,2.722,,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-03-13,3
Malaysia,MYS,WPRO,REPORTING,2021-04-16,1105890,671589,3.417,2.075,"AstraZeneca - AZD1222,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-24,5
Zambia,ZMB,AFRO,REPORTING,2021-04-26,0,0,0,0,SII - Covishield,2021-04-14,1
Hungary,HUN,EURO,REPORTING,2021-04-18,4646186,3257199,47.6,33.34,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-23,7
Turkey,TUR,EURO,OWID,2021-04-25,19970215,12182430,23.7,14.445,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac",,2
Puerto Rico,PRI,AMRO,REPORTING,2021-04-23,1652978,1040810,57.779,36.381,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,3
Saba,XCA,AMRO,REPORTING,2021-04-23,1300,,67.253,,,,
Georgia,GEO,EURO,REPORTING,2021-04-18,28625,28625,0.7,0.718,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-03-17,2
India,IND,SEARO,REPORTING,2021-04-20,130027370,111577336,9.422,8.085,"Bharat - Covaxin,Gamaleya - Sputnik V,SII - Covishield",2021-01-16,3
Mexico,MEX,AMRO,REPORTING,2021-04-23,11622868,6644198,9.015,5.153,"AstraZeneca - AZD1222,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,5
Kazakhstan,KAZ,EURO,REPORTING,2021-04-18,1311019,1076684,7,5.734,Gamaleya - Sputnik V,2021-03-17,1
Turkmenistan,TKM,EURO,REPORTING,2021-04-04,41993,32240,0.7,0.535,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SRCVB - EpiVacCorona",2021-03-31,4
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2021-04-18,137026,106105,1.883,1.458,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-11-25,4
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2021-04-23,230000,,0.809,,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Wuhan CNBG - Inactivated",2021-02-18,3
Lithuania,LTU,EURO,REPORTING,2021-04-18,746395,552489,26.7,19.773,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Democratic Republic of the Congo,COD,AFRO,REPORTING,2021-04-26,761,761,0.001,0.001,SII - Covishield,2021-04-19,1
Ghana,GHA,AFRO,REPORTING,2021-04-26,842521,842521,2.711,2.711,"Gamaleya - Sputnik V,SII - Covishield",2021-03-02,2
Portugal,PRT,EURO,REPORTING,2021-04-18,2704633,2015223,26.3,19.574,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Comoros,COM,AFRO,REPORTING,2021-04-26,40863,40863,4.699,4.699,"Beijing CNBG - Inactivated,Bharat - Covaxin,SII - Covishield",2021-04-10,3
Spain,ESP,EURO,REPORTING,2021-04-18,12865032,9452262,27.2,19.97,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
Mali,MLI,AFRO,REPORTING,2021-04-26,36047,36047,0.178,0.178,SII - Covishield,2021-03-31,1
Greece,GRC,EURO,REPORTING,2021-04-18,2487942,1718590,23.2,16.034,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Côte d’Ivoire,CIV,AFRO,REPORTING,2021-04-26,118224,101242,0.448,0.384,"Gamaleya - Sputnik V,SII - Covishield",2021-03-01,2
Sudan,SDN,EMRO,REPORTING,2021-04-04,49932,,0.114,,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-09,2
occupied Palestinian territory,PSE,EMRO,REPORTING,2021-04-19,191774,,3.759,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-02,5
South Africa,ZAF,AFRO,REPORTING,2021-04-26,182983,182983,0.309,0.309,Janssen - Ad26.COV 2.5,2021-02-17,1
Iceland,ISL,EURO,REPORTING,2021-04-18,100171,70484,27.5,19.357,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Viet Nam,VNM,WPRO,REPORTING,2021-04-16,62415,62415,0.064,0.064,"AstraZeneca - AZD1222,Gamaleya - Sputnik V",2021-03-08,2
Belgium,BEL,EURO,REPORTING,2021-04-18,3022157,2306260,26.2,20.015,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Paraguay,PRY,AMRO,REPORTING,2021-04-23,80855,70366,1.134,0.987,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V,Sinovac - CoronaVac",2021-02-22,5
Chile,CHL,AMRO,REPORTING,2021-04-23,13722557,7849346,71.785,41.061,"Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,2
Italy,ITA,EURO,REPORTING,2021-04-18,15166198,10715423,25.4,17.967,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Angola,AGO,AFRO,REPORTING,2021-04-26,443263,443263,1.349,1.349,SII - Covishield,2021-03-10,1
Japan,JPN,WPRO,REPORTING,2021-04-19,1853729,1175324,1.466,0.929,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-17,4
Cabo Verde,CPV,AFRO,REPORTING,2021-04-26,12992,10361,2.337,1.864,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,2
Equatorial Guinea,GNQ,AFRO,REPORTING,2021-04-26,55799,47410,3.977,3.379,"Beijing CNBG - Inactivated,Sinovac - CoronaVac",2021-02-12,2
Solomon Islands,SLB,WPRO,REPORTING,2021-04-01,2622,2622,0.382,0.382,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-22,2
Niger,NER,AFRO,REPORTING,2021-04-26,9562,9562,0.04,0.04,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-29,2
Costa Rica,CRI,AMRO,REPORTING,2021-04-23,698327,450593,13.708,8.845,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",,2
Guadeloupe,GLP,AMRO,REPORTING,2021-04-23,22021,15138,5.504,3.783,,,
Malta,MLT,EURO,REPORTING,2021-04-18,254325,167880,49.4,32.626,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Singapore,SGP,WPRO,REPORTING,2021-04-06,1667522,1131658,28.503,19.343,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
Colombia,COL,AMRO,REPORTING,2021-04-23,3165023,1988036,6.22,3.907,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,3
Brazil,BRA,AMRO,REPORTING,2021-04-23,35525209,25377332,16.713,11.939,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,4
Netherlands,NLD,EURO,REPORTING,2021-04-18,4578958,3635761,26.3,20.886,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Bonaire,XAA,AMRO,REPORTING,2021-04-23,15591,11416,74.545,54.583,,,
San Marino,SMR,EURO,REPORTING,2021-04-18,21218,12818,62.5,37.769,"Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-24,2
Estonia,EST,EURO,REPORTING,2021-04-18,372117,286748,28,21.577,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Dominica,DMA,AMRO,REPORTING,2021-04-23,23055,18237,32.025,25.332,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,SII - Covishield",2021-02-12,3
Bulgaria,BGR,EURO,REPORTING,2021-04-18,638447,509905,9.2,7.335,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Sint Maarten,SXM,AMRO,REPORTING,2021-04-23,19412,13042,45.268,30.414,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-22,3
Cameroon,CMR,AFRO,REPORTING,2021-04-26,6683,6683,0.025,0.025,"Beijing CNBG - Inactivated,SII - Covishield",2021-04-12,2
Papua New Guinea,PNG,WPRO,REPORTING,2021-04-17,1508,1508,0.017,0.017,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,SII - Covishield",2021-03-30,3
Saudi Arabia,SAU,EMRO,REPORTING,2021-04-25,8059757,,23.151,,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,3
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2021-04-19,35730,20455,62.078,35.539,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-19,3
Kosovo,XKX,EURO,OWID,2021-04-23,16132,16132,0.9,0.898,,,
Croatia,HRV,EURO,REPORTING,2021-04-18,697246,554593,17.2,13.718,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Maldives,MDV,SEARO,REPORTING,2021-04-19,335323,283973,62.034,52.535,"Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-01,3
Mongolia,MNG,WPRO,REPORTING,2021-04-16,627404,624736,19.138,19.057,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,6
Guinea-Bissau,GNB,AFRO,REPORTING,2021-04-26,5877,5877,0.299,0.299,"Beijing CNBG - Inactivated,SII - Covishield",2021-04-02,2
Slovenia,SVN,EURO,REPORTING,2021-04-18,516279,371307,24.6,17.716,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Argentina,ARG,AMRO,REPORTING,2021-04-23,6693438,5851232,14.81,12.946,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2020-12-29,4
Suriname,SUR,AMRO,REPORTING,2021-04-23,36206,36206,6.172,6.172,"AstraZeneca - AZD1222,SII - Covishield",2021-02-23,2
Israel,ISR,EURO,REPORTING,2021-04-18,10312506,5348101,119.1,61.788,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-16,2
Luxembourg,LUX,EURO,REPORTING,2021-04-18,166294,118119,26.6,18.866,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Sri Lanka,LKA,SEARO,REPORTING,2021-04-14,927711,927711,4.332,4.332,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-01-29,3
Curaçao,CUW,AMRO,REPORTING,2021-04-23,80619,64914,49.13,39.559,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-24,3
Czechia,CZE,EURO,REPORTING,2021-04-18,2472913,1609416,23.1,15.05,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Syrian Arab Republic,SYR,EMRO,OWID,2021-04-08,2500,2500,0.014,0.014,Gamaleya - Sputnik V,,1
Jordan,JOR,EMRO,REPORTING,2021-04-26,807175,,7.911,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-01-13,5
Uganda,UGA,AFRO,REPORTING,2021-04-26,232631,232631,0.509,0.509,SII - Covishield,2021-03-10,1
Pakistan,PAK,EMRO,REPORTING,2021-04-26,1735515,,0.786,,"Beijing CNBG - Inactivated,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,SII - Covishield,Sinovac - CoronaVac",2021-02-03,5
Iraq,IRQ,EMRO,REPORTING,2021-04-19,190264,,0.473,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-03-02,4
Finland,FIN,EURO,REPORTING,2021-04-18,1456229,1333115,26.4,24.128,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Martinique,MTQ,AMRO,REPORTING,2021-04-23,40747,31855,10.858,8.489,,,
